taxon_oid,Ecosystem Subtype,Latitude,Longitude,Origin,Plasmid Count,Ecosystem Subtype Custom
3300043379,Watershed,38.93,-107.01,Meta,17,Other
3300047446,Rhizosphere,44.59,-123.19,Meta,178,Rhizosphere
3300045978,Tropical forest,32.58,-110.85,Meta,40,Tropical forest
3300035173,Agricultural land,57.19,-2.21,Meta,14,Agricultural land
3300035410,Rhizosphere,46.11,-122.99,Meta,17,Rhizosphere
3300049296,Agricultural land,38.55,-121.87,Meta,1,Agricultural land
3300028590,Agricultural land,42.67,-77.03,Meta,176,Agricultural land
3300047522,Clay,50.54,13.61,Meta,10,Other
3300026862,Tropical forest,18.0,-65.0,Meta,1,Tropical forest
3300020649,Temperate forest,42.48,-72.18,Meta,1,Temperate forest
3300035695,Rhizosphere,46.11,-122.99,Meta,33,Rhizosphere
3300050214,Agricultural land,43.3,-89.33,Meta,3,Agricultural land
3300026895,Tropical forest,18.0,-65.0,Meta,1,Tropical forest
3300012856,Unclassified,43.07,-89.4,Meta,38,Unclassified
3300061659,Agricultural land,53.55,-114.2,Meta,5,Agricultural land
3300020843,Temperate forest,42.48,-72.18,Meta,3,Temperate forest
3300048088,Rhizosphere,46.12,-123.27,Meta,147,Rhizosphere
3300043788,Temperate forest,42.3,-72.12,Meta,67,Temperate forest
3300043778,Temperate forest,42.3,-72.12,Meta,33,Temperate forest
3300047658,Peat,68.36,19.05,Meta,111,Peat
3300039643,Unclassified,-42.62,147.42,Meta,1,Unclassified
3300025960,Rhizosphere,42.39,-85.37,Meta,11,Rhizosphere
3300000519,Loam,39.1,-96.61,Meta,54,Other
3300053165,Unclassified,35.88,-106.3,Meta,236,Unclassified
3300020747,Temperate forest,42.48,-72.18,Meta,5,Temperate forest
3300039902,Grasslands,-26.86,27.05,Meta,19,Grasslands
3300029889,Peat,47.51,-93.45,Meta,25,Peat
3300049444,Agricultural land,44.59,-123.19,Meta,2,Agricultural land
3300040111,Boreal forest/Taiga,60.99,25.71,Meta,16,Other
3300061652,Agricultural land,53.55,-114.2,Meta,9,Agricultural land
3300028884,Floodplain,38.92,-106.95,Meta,9,Other
3300053227,Temperate forest,41.55,-70.64,Meta,9,Temperate forest
3300054560,Pasture,39.0,-123.07,Meta,1,Other
3300026116,Rhizosphere,42.39,-85.37,Meta,151,Rhizosphere
3300052798,Temperate forest,50.06,10.45,Meta,1,Temperate forest
3300039909,Boreal forest/Taiga,61.01,25.65,Meta,13,Other
3300020980,Temperate forest,42.48,-72.18,Meta,2,Temperate forest
3300000936,Tropical forest,18.0,-65.0,Meta,4,Tropical forest
3300010403,Unclassified,42.39,-85.37,Meta,7,Unclassified
3300012794,Unclassified,43.07,-89.4,Meta,10,Unclassified
3300049202,Grasslands,38.53,-121.78,Meta,29,Grasslands
3300049727,Peat,68.36,19.04,Meta,200,Peat
3300045258,Temperate forest,47.55,-92.3,Meta,5,Temperate forest
3300049823,Rhizosphere,29.41,-82.17,Meta,397,Rhizosphere
3300020903,Temperate forest,42.48,-72.18,Meta,1,Temperate forest
3300060354,Temperate forest,33.67,-117.46,Meta,34,Temperate forest
3300035669,Temperate forest,38.78,-120.28,Meta,24,Temperate forest
3300026869,Tropical forest,18.0,-65.0,Meta,2,Tropical forest
3300020642,Temperate forest,42.48,-72.18,Meta,2,Temperate forest
3300061657,Agricultural land,53.55,-114.2,Meta,25,Agricultural land
3300026934,Tropical forest,18.0,-65.0,Meta,23,Tropical forest
3300035166,Agricultural land,57.19,-2.21,Meta,1,Agricultural land
3300050458,Unclassified,46.24,-122.17,Meta,8,Unclassified
3300005347,Rhizosphere,42.39,-85.37,Meta,113,Rhizosphere
3300020985,Temperate forest,42.48,-72.18,Meta,1,Temperate forest
3300042813,Floodplain,38.92,-106.96,Meta,4,Other
3300052275,Peat,68.36,19.05,Meta,59,Peat
3300020749,Temperate forest,42.48,-72.18,Meta,3,Temperate forest
3300018429,Riparian zone,44.47,-109.63,Meta,24,Other
3300046739,Agricultural land,46.12,-123.27,Meta,32,Agricultural land
3300020954,Temperate forest,42.48,-72.18,Meta,4,Temperate forest
3300025906,Rhizosphere,42.48,-85.45,Meta,25,Rhizosphere
3300049722,Peat,68.35,19.05,Meta,4,Peat
3300039440,Grasslands,-19.28,-43.59,Meta,9,Grasslands
3300049207,Grasslands,38.53,-121.78,Meta,64,Grasslands
3300012811,Unclassified,43.07,-89.4,Meta,8,Unclassified
3300020821,Temperate forest,42.48,-72.18,Meta,2,Temperate forest
3300044999,Temperate forest,38.91,-120.66,Meta,22,Temperate forest
3300043377,Watershed,38.99,-107.0,Meta,4,Other
3300005456,Rhizosphere,42.39,-85.37,Meta,20,Rhizosphere
3300046826,Agricultural land,44.59,-123.19,Meta,2,Agricultural land
3300051666,Temperate forest,49.0,13.36,Meta,21,Temperate forest
3300020647,Temperate forest,42.48,-72.18,Meta,2,Temperate forest
3300032157,Garden,34.01,-118.47,Meta,45,Other
3300054565,Pasture,39.0,-123.07,Meta,5,Other
3300051238,Agricultural land,43.3,-89.33,Meta,467,Agricultural land
3300049169,Unclassified,35.88,-106.3,Meta,105,Unclassified
3300050464,Unclassified,46.24,-122.17,Meta,2,Unclassified
3300039484,Agricultural land,1.3,103.76,Meta,7,Agricultural land
3300039474,Unclassified,63.88,-149.23,Meta,19,Unclassified
3300039852,Unclassified,-35.42,148.8,Meta,3,Unclassified
3300049705,Rhizosphere,37.85,-122.29,Meta,46,Rhizosphere
3300006931,Rhizosphere,42.39,-85.37,Meta,87,Rhizosphere
3300006237,Rhizosphere,42.41,-85.4,Meta,26,Rhizosphere
3300000443,Loam,39.1,-96.61,Meta,16,Other
3300027018,Grasslands,39.07,-96.58,Meta,1,Grasslands
3300020652,Temperate forest,42.48,-72.18,Meta,2,Temperate forest
3300041410,Rhizosphere,41.89,-103.69,Meta,1,Rhizosphere
