KO	GO	GO_term
K00580	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00580	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00581	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00581	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00581	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00581	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00581	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00581	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00582	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00582	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00582	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00582	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00582	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00582	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00583	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00583	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00583	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00583	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00583	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00583	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00584	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00584	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00584	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00584	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00584	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00584	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00587	GO:0004671	protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity
K00602	GO:0003937	IMP cyclohydrolase activity
K00602	GO:0003937	IMP cyclohydrolase activity
K00602	GO:0004643	phosphoribosylaminoimidazolecarboxamide formyltransferase activity
K00606	GO:0003864	3-methyl-2-oxobutanoate hydroxymethyltransferase activity
K00620	GO:0004358	glutamate N-acetyltransferase activity
K00628	GO:0047961	glycine N-acyltransferase activity
K00629	GO:0004366	glycerol-3-phosphate O-acyltransferase activity
K00630	GO:0004366	glycerol-3-phosphate O-acyltransferase activity
K00631	GO:0004366	glycerol-3-phosphate O-acyltransferase activity
K00635	GO:0004144	diacylglycerol O-acyltransferase activity
K00638	GO:0008811	chloramphenicol O-acetyltransferase activity
K00640	GO:0009001	serine O-acetyltransferase activity
K00643	GO:0003870	5-aminolevulinate synthase activity
K00647	GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthase activity
K00653	GO:0004402	histone acetyltransferase activity
K00653	GO:0004402	histone acetyltransferase activity
K00653	GO:0004402	histone acetyltransferase activity
K00653	GO:0004402	histone acetyltransferase activity
K00662	GO:0046353	aminoglycoside 3-N-acetyltransferase activity
K00671	GO:0004379	glycylpeptide N-tetradecanoyltransferase activity
K00671	GO:0004379	glycylpeptide N-tetradecanoyltransferase activity
K00673	GO:0008791	arginine N-succinyltransferase activity
K00683	GO:0016603	glutaminyl-peptide cyclotransferase activity
K00684	GO:0008914	leucyl-tRNA--protein transferase activity
K00685	GO:0004057	arginyl-tRNA--protein transferase activity
K00685	GO:0004057	arginyl-tRNA--protein transferase activity
K00686	GO:0003810	protein-glutamine gamma-glutamyltransferase activity
K00686	GO:0003810	protein-glutamine gamma-glutamyltransferase activity
K00686	GO:0003810	protein-glutamine gamma-glutamyltransferase activity
K00687	GO:0008658	penicillin binding
K00687	GO:0008658	penicillin binding
K00688	GO:0008184	glycogen phosphorylase activity
K00692	GO:0050053	levansucrase activity
K00693	GO:0004373	glycogen (starch) synthase activity
K00694	GO:0016760	cellulose synthase (UDP-forming) activity
K00695	GO:0016157	sucrose synthase activity
K00698	GO:0004100	chitin synthase activity
K00698	GO:0004100	chitin synthase activity
K00705	GO:0004134	4-alpha-glucanotransferase activity
K00706	GO:0003843	1,3-beta-D-glucan synthase activity
K00718	GO:0008107	galactoside 2-alpha-L-fucosyltransferase activity
K00718	GO:0008107	galactoside 2-alpha-L-fucosyltransferase activity
K00728	GO:0004169	dolichyl-phosphate-mannose-protein mannosyltransferase activity
K00730	GO:0008250	oligosaccharyltransferase complex
K00730	GO:0008250	oligosaccharyltransferase complex
K00735	GO:0015018	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity
K00736	GO:0008455	alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity
K00737	GO:0003830	beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity
K00744	GO:0030144	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase activity
K00748	GO:0008915	lipid-A-disaccharide synthase activity
K00748	GO:0008915	lipid-A-disaccharide synthase activity
K00765	GO:0003879	ATP phosphoribosyltransferase activity
K00765	GO:0003879	ATP phosphoribosyltransferase activity
K00767	GO:0004514	nicotinate-nucleotide diphosphorylase (carboxylating) activity
K00768	GO:0008939	nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase activity
K00774	GO:0003950	NAD+ ADP-ribosyltransferase activity
K00774	GO:0003950	NAD+ ADP-ribosyltransferase activity
K00774	GO:0003950	NAD+ ADP-ribosyltransferase activity
K00775	GO:0106274	NAD+-protein-arginine ADP-ribosyltransferase activity
K00775	GO:0106274	NAD+-protein-arginine ADP-ribosyltransferase activity
K00776	GO:0047286	NAD+-diphthamide ADP-ribosyltransferase activity
K00784	GO:0016891	RNA endonuclease activity, producing 5'-phosphomonoesters
K00788	GO:0004789	thiamine-phosphate diphosphorylase activity
K00789	GO:0004478	methionine adenosyltransferase activity
K00789	GO:0004478	methionine adenosyltransferase activity
K00789	GO:0004478	methionine adenosyltransferase activity
K00798	GO:0008817	corrinoid adenosyltransferase activity
K00811	GO:0004069	L-aspartate:2-oxoglutarate aminotransferase activity
K00812	GO:0004069	L-aspartate:2-oxoglutarate aminotransferase activity
K00813	GO:0004069	L-aspartate:2-oxoglutarate aminotransferase activity
K00815	GO:0004838	L-tyrosine:2-oxoglutarate aminotransferase activity
K00841	GO:0008483	transaminase activity
K00845	GO:0004340	glucokinase activity
K00850	GO:0003872	6-phosphofructokinase activity
K00857	GO:0004797	thymidine kinase activity
K00857	GO:0004797	thymidine kinase activity
K00857	GO:0004797	thymidine kinase activity
K00858	GO:0003951	NAD+ kinase activity
K00859	GO:0004140	dephospho-CoA kinase activity
K00861	GO:0008531	riboflavin kinase activity
K00863	GO:0004371	glycerone kinase activity
K00863	GO:0004371	glycerone kinase activity
K00867	GO:0004594	pantothenate kinase activity
K00867	GO:0004594	pantothenate kinase activity
K00873	GO:0004743	pyruvate kinase activity
K00878	GO:0004417	hydroxyethylthiazole kinase activity
K00883	GO:0008671	2-dehydro-3-deoxygalactonokinase activity
K00900	GO:0003873	6-phosphofructo-2-kinase activity
K00901	GO:0004143	ATP-dependent diacylglycerol kinase activity
K00903	GO:0004715	non-membrane spanning protein tyrosine kinase activity
K00906	GO:0008772	[isocitrate dehydrogenase (NADP+)] kinase activity
K00908	GO:0004683	calmodulin-dependent protein kinase activity
K00912	GO:0009029	tetraacyldisaccharide 4'-kinase activity
K00927	GO:0004618	phosphoglycerate kinase activity
K00936	GO:0000155	phosphorelay sensor kinase activity
K00936	GO:0000155	phosphorelay sensor kinase activity
K00936	GO:0000155	phosphorelay sensor kinase activity
K00936	GO:0000155	phosphorelay sensor kinase activity
K00936	GO:0000155	phosphorelay sensor kinase activity
K00936	GO:0000155	phosphorelay sensor kinase activity
K00936	GO:0000155	phosphorelay sensor kinase activity
K00936	GO:0000155	phosphorelay sensor kinase activity
K00936	GO:0000155	phosphorelay sensor kinase activity
K00936	GO:0000155	phosphorelay sensor kinase activity
K00938	GO:0004631	phosphomevalonate kinase activity
K00939	GO:0004017	adenylate kinase activity
K00940	GO:0004550	nucleoside diphosphate kinase activity
K00948	GO:0004749	ribose phosphate diphosphokinase activity
K00949	GO:0004788	thiamine diphosphokinase activity
K00950	GO:0003848	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity
K00953	GO:0003919	FMN adenylyltransferase activity
K00955	GO:0004781	sulfate adenylyltransferase (ATP) activity
K00956	GO:0004781	sulfate adenylyltransferase (ATP) activity
K00957	GO:0004781	sulfate adenylyltransferase (ATP) activity
K00958	GO:0004781	sulfate adenylyltransferase (ATP) activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00960	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
K00965	GO:0008108	UDP-glucose:hexose-1-phosphate uridylyltransferase activity
K00965	GO:0008108	UDP-glucose:hexose-1-phosphate uridylyltransferase activity
K00974	GO:0004810	CCA tRNA nucleotidyltransferase activity
K00974	GO:0004810	CCA tRNA nucleotidyltransferase activity
K00981	GO:0004605	phosphatidate cytidylyltransferase activity
K00982	GO:0008882	[glutamate-ammonia-ligase] adenylyltransferase activity
K00986	GO:0003964	RNA-directed DNA polymerase activity
K00986	GO:0003964	RNA-directed DNA polymerase activity
K00986	GO:0003964	RNA-directed DNA polymerase activity
K00987	GO:0004484	mRNA guanylyltransferase activity
K00987	GO:0004484	mRNA guanylyltransferase activity
K00988	GO:0003877	ATP adenylyltransferase activity
K00990	GO:0008773	[protein-PII] uridylyltransferase activity
K00997	GO:0008897	holo-[acyl-carrier-protein] synthase activity
K00997	GO:0008897	holo-[acyl-carrier-protein] synthase activity
K01014	GO:0004062	aryl sulfotransferase activity
K01019	GO:0001733	galactosylceramide sulfotransferase activity
K01045	GO:0004064	arylesterase activity
K01046	GO:0004806	triglyceride lipase activity
K01046	GO:0004806	triglyceride lipase activity
K01047	GO:0004623	phospholipase A2 activity
K01047	GO:0004623	phospholipase A2 activity
K01047	GO:0004623	phospholipase A2 activity
K01051	GO:0030599	pectinesterase activity
K01056	GO:0004045	aminoacyl-tRNA hydrolase activity
K01056	GO:0004045	aminoacyl-tRNA hydrolase activity
K01058	GO:0004623	phospholipase A2 activity
K01058	GO:0004623	phospholipase A2 activity
K01058	GO:0004623	phospholipase A2 activity
K01078	GO:0003993	acid phosphatase activity
K01080	GO:0008195	phosphatidate phosphatase activity
K01081	GO:0008253	5'-nucleotidase activity
K01081	GO:0008253	5'-nucleotidase activity
K01081	GO:0008253	5'-nucleotidase activity
K01083	GO:0016158	3-phytase activity
K01086	GO:0042132	fructose 1,6-bisphosphate 1-phosphatase activity
K01086	GO:0042132	fructose 1,6-bisphosphate 1-phosphatase activity
K01089	GO:0004424	imidazoleglycerol-phosphate dehydratase activity
K01090	GO:0004721	phosphoprotein phosphatase activity
K01090	GO:0004721	phosphoprotein phosphatase activity
K01090	GO:0004721	phosphoprotein phosphatase activity
K01090	GO:0004721	phosphoprotein phosphatase activity
K01090	GO:0004721	phosphoprotein phosphatase activity
K01093	GO:0003993	acid phosphatase activity
K01094	GO:0008962	phosphatidylglycerophosphatase activity
K01094	GO:0008962	phosphatidylglycerophosphatase activity
K01095	GO:0008962	phosphatidylglycerophosphatase activity
K01095	GO:0008962	phosphatidylglycerophosphatase activity
K01096	GO:0008195	phosphatidate phosphatase activity
K01096	GO:0008962	phosphatidylglycerophosphatase activity
K01096	GO:0008962	phosphatidylglycerophosphatase activity
K01096	GO:0050380	undecaprenyl-diphosphatase activity
K01103	GO:0003873	6-phosphofructo-2-kinase activity
K01104	GO:0004725	protein tyrosine phosphatase activity
K01104	GO:0004725	protein tyrosine phosphatase activity
K01104	GO:0004725	protein tyrosine phosphatase activity
K01104	GO:0004725	protein tyrosine phosphatase activity
K01104	GO:0004725	protein tyrosine phosphatase activity
K01104	GO:0004725	protein tyrosine phosphatase activity
K01110	GO:0004725	protein tyrosine phosphatase activity
K01110	GO:0004725	protein tyrosine phosphatase activity
K01110	GO:0004725	protein tyrosine phosphatase activity
K01110	GO:0004725	protein tyrosine phosphatase activity
K01110	GO:0004725	protein tyrosine phosphatase activity
K01110	GO:0004725	protein tyrosine phosphatase activity
