KO	Module	Module_desc
K01689	M00346	Formaldehyde assimilation, serine pathway
K00873	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K00873	M00002	Glycolysis, core module involving three-carbon compounds
K12406	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K12406	M00002	Glycolysis, core module involving three-carbon compounds
K01596	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
K01610	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
K01610	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
K03841	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
K03841	M00165	Reductive pentose phosphate cycle (Calvin cycle)
K03841	M00344	Formaldehyde assimilation, xylulose monophosphate pathway
K02446	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
K02446	M00165	Reductive pentose phosphate cycle (Calvin cycle)
K11532	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
K11532	M00165	Reductive pentose phosphate cycle (Calvin cycle)
K11532	M00165	Reductive pentose phosphate cycle (Calvin cycle)
K01086	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
K01086	M00165	Reductive pentose phosphate cycle (Calvin cycle)
K01086	M00165	Reductive pentose phosphate cycle (Calvin cycle)
K04041	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
K01622	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
K13937	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
K13937	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
K00036	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
K00036	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
K00036	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
K19243	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
K19243	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
K01057	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
K01057	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
K01057	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
K07404	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
K07404	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
K07404	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
K00033	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
K00033	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
K01783	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
K01783	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
K01783	M00165	Reductive pentose phosphate cycle (Calvin cycle)
K01807	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
K01807	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
K01807	M00165	Reductive pentose phosphate cycle (Calvin cycle)
K01807	M00580	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P
K01808	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
K01808	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
K01808	M00165	Reductive pentose phosphate cycle (Calvin cycle)
K00615	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
K00615	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
K00615	M00165	Reductive pentose phosphate cycle (Calvin cycle)
K00616	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
K00616	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
K00948	M00005	PRPP biosynthesis, ribose 5P => PRPP
K01690	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
K01625	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
K01625	M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P
K01625	M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P
K01625	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P
K01647	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K01647	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate
K01647	M00012	Glyoxylate cycle
K01647	M00740	Methylaspartate cycle
K05942	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K05942	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate
K01681	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K01681	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate
K01681	M00012	Glyoxylate cycle
K01681	M00173	Reductive citrate cycle (Arnon-Buchanan cycle)
K01681	M00740	Methylaspartate cycle
K01682	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K01682	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate
K01682	M00012	Glyoxylate cycle
K01682	M00173	Reductive citrate cycle (Arnon-Buchanan cycle)
K00031	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K00031	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate
K00031	M00173	Reductive citrate cycle (Arnon-Buchanan cycle)
K00031	M00740	Methylaspartate cycle
K00030	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K00030	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate
K00164	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K00164	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K00658	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K00658	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K00658	M00032	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA
K01616	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K01616	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K00382	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K00382	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K00382	M00032	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA
K00382	M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA
K00382	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA
K00382	M00532	Photorespiration
K00382	M00621	Glycine cleavage system
K00174	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K00174	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K00174	M00173	Reductive citrate cycle (Arnon-Buchanan cycle)
K00174	M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate
K00175	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K00175	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K00175	M00173	Reductive citrate cycle (Arnon-Buchanan cycle)
K00175	M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate
K00177	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K00177	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K00177	M00173	Reductive citrate cycle (Arnon-Buchanan cycle)
K00177	M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate
K00176	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K00176	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K00176	M00173	Reductive citrate cycle (Arnon-Buchanan cycle)
K00176	M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate
K01902	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K01902	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K01902	M00173	Reductive citrate cycle (Arnon-Buchanan cycle)
K01902	M00374	Dicarboxylate-hydroxybutyrate cycle
K01902	M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate
K01903	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K01903	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K01903	M00173	Reductive citrate cycle (Arnon-Buchanan cycle)
K01903	M00374	Dicarboxylate-hydroxybutyrate cycle
K01903	M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate
K01899	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K01899	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K01900	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K01900	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K18118	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K18118	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K00234	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K00234	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K00234	M00148	Succinate dehydrogenase (ubiquinone)
K00235	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K00235	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K00235	M00148	Succinate dehydrogenase (ubiquinone)
K25801	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K25801	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K25801	M00148	Succinate dehydrogenase (ubiquinone)
K00239	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K00239	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K00239	M00149	Succinate dehydrogenase, prokaryotes
K00239	M00173	Reductive citrate cycle (Arnon-Buchanan cycle)
K00239	M00374	Dicarboxylate-hydroxybutyrate cycle
K00239	M00376	3-Hydroxypropionate bi-cycle
K00240	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K00240	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K00240	M00149	Succinate dehydrogenase, prokaryotes
K00240	M00173	Reductive citrate cycle (Arnon-Buchanan cycle)
K00240	M00374	Dicarboxylate-hydroxybutyrate cycle
K00240	M00376	3-Hydroxypropionate bi-cycle
K00241	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K00241	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K00241	M00149	Succinate dehydrogenase, prokaryotes
K00241	M00173	Reductive citrate cycle (Arnon-Buchanan cycle)
K00241	M00374	Dicarboxylate-hydroxybutyrate cycle
K00241	M00376	3-Hydroxypropionate bi-cycle
K00242	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K00242	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K00242	M00149	Succinate dehydrogenase, prokaryotes
K00242	M00173	Reductive citrate cycle (Arnon-Buchanan cycle)
K18859	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K18859	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K18859	M00149	Succinate dehydrogenase, prokaryotes
K00244	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K00244	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K00244	M00150	Fumarate reductase, prokaryotes
K00245	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K00245	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K00245	M00150	Fumarate reductase, prokaryotes
K00246	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K00246	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K00246	M00150	Fumarate reductase, prokaryotes
K00247	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K00247	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K00247	M00150	Fumarate reductase, prokaryotes
K01676	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K01676	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K01676	M00173	Reductive citrate cycle (Arnon-Buchanan cycle)
K01679	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K01679	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K01679	M00173	Reductive citrate cycle (Arnon-Buchanan cycle)
K01679	M00376	3-Hydroxypropionate bi-cycle
K01677	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K01677	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K01677	M00173	Reductive citrate cycle (Arnon-Buchanan cycle)
K01677	M00374	Dicarboxylate-hydroxybutyrate cycle
K01677	M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate
K01678	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K01678	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K01678	M00173	Reductive citrate cycle (Arnon-Buchanan cycle)
K01678	M00374	Dicarboxylate-hydroxybutyrate cycle
K01678	M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate
K00026	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K00026	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K00026	M00012	Glyoxylate cycle
K00026	M00168	CAM (Crassulacean acid metabolism), dark
K00026	M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type
K00025	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K00025	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K00025	M00012	Glyoxylate cycle
K00025	M00168	CAM (Crassulacean acid metabolism), dark
K00025	M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type
K00024	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K00024	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K00024	M00012	Glyoxylate cycle
K00024	M00168	CAM (Crassulacean acid metabolism), dark
K00024	M00173	Reductive citrate cycle (Arnon-Buchanan cycle)
K00024	M00346	Formaldehyde assimilation, serine pathway
K00024	M00374	Dicarboxylate-hydroxybutyrate cycle
K00024	M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate
K00024	M00740	Methylaspartate cycle
K00116	M00009	Citrate cycle (TCA cycle, Krebs cycle)
K00116	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K01638	M00012	Glyoxylate cycle
K19282	M00012	Glyoxylate cycle
K19282	M00740	Methylaspartate cycle
K00248	M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA
K00232	M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA
K00232	M00087	beta-Oxidation
K00232	M00113	Jasmonic acid biosynthesis
K00232	M00861	beta-Oxidation, peroxisome, VLCFA
K07511	M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA
K07511	M00032	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA
K07511	M00085	Fatty acid elongation in mitochondria
K07511	M00087	beta-Oxidation
K14729	M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA
K05605	M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA
K00140	M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA
K00012	M00014	Glucuronate pathway (uronate pathway)
K00012	M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate
K16190	M00014	Glucuronate pathway (uronate pathway)
K00699	M00014	Glucuronate pathway (uronate pathway)
K00699	M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate
K01195	M00014	Glucuronate pathway (uronate pathway)
K01195	M00076	Dermatan sulfate degradation
K01195	M00077	Chondroitin sulfate degradation
K01195	M00078	Heparan sulfate degradation
K01195	M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate
K14756	M00014	Glucuronate pathway (uronate pathway)
K00002	M00014	Glucuronate pathway (uronate pathway)
K00002	M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate
K13247	M00014	Glucuronate pathway (uronate pathway)
K03331	M00014	Glucuronate pathway (uronate pathway)
K05351	M00014	Glucuronate pathway (uronate pathway)
K00008	M00014	Glucuronate pathway (uronate pathway)
K00854	M00014	Glucuronate pathway (uronate pathway)
K00931	M00015	Proline biosynthesis, glutamate => proline
K00147	M00015	Proline biosynthesis, glutamate => proline
K12657	M00015	Proline biosynthesis, glutamate => proline
K00928	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
K00928	M00017	Methionine biosynthesis, aspartate => homoserine => methionine
K00928	M00018	Threonine biosynthesis, aspartate => homoserine => threonine
K00928	M00033	Ectoine biosynthesis, aspartate => ectoine
K00928	M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine
K00928	M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine
K00928	M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine
K12524	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
K12524	M00017	Methionine biosynthesis, aspartate => homoserine => methionine
K12524	M00017	Methionine biosynthesis, aspartate => homoserine => methionine
K12524	M00018	Threonine biosynthesis, aspartate => homoserine => threonine
K12524	M00018	Threonine biosynthesis, aspartate => homoserine => threonine
K12524	M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine
K12524	M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine
K12525	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
K12525	M00017	Methionine biosynthesis, aspartate => homoserine => methionine
K12525	M00017	Methionine biosynthesis, aspartate => homoserine => methionine
K12525	M00018	Threonine biosynthesis, aspartate => homoserine => threonine
K12525	M00018	Threonine biosynthesis, aspartate => homoserine => threonine
K12525	M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine
K12525	M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine
K12526	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
K12526	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
K12526	M00018	Threonine biosynthesis, aspartate => homoserine => threonine
K12526	M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine
K12526	M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine
K12526	M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine
K12526	M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine
K00133	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
K00133	M00017	Methionine biosynthesis, aspartate => homoserine => methionine
K00133	M00018	Threonine biosynthesis, aspartate => homoserine => threonine
K00133	M00033	Ectoine biosynthesis, aspartate => ectoine
K00133	M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine
K00133	M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine
K00133	M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine
K01714	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
K01714	M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine
K01714	M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine
K01714	M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine
K00215	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
K00215	M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine
K00215	M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine
K00215	M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine
K00674	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
K00821	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
K00821	M00028	Ornithine biosynthesis, glutamate => ornithine
K00821	M00845	Arginine biosynthesis, glutamate => acetylcitrulline => arginine
K14267	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
K01439	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
K01778	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
K01778	M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine
K01778	M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine
K01586	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
K01586	M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine
K01586	M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine
K01586	M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine
K00003	M00017	Methionine biosynthesis, aspartate => homoserine => methionine
K00003	M00018	Threonine biosynthesis, aspartate => homoserine => threonine
K00651	M00017	Methionine biosynthesis, aspartate => homoserine => methionine
K00641	M00017	Methionine biosynthesis, aspartate => homoserine => methionine
K01739	M00017	Methionine biosynthesis, aspartate => homoserine => methionine
K01760	M00017	Methionine biosynthesis, aspartate => homoserine => methionine
K14155	M00017	Methionine biosynthesis, aspartate => homoserine => methionine
K00548	M00017	Methionine biosynthesis, aspartate => homoserine => methionine
K24042	M00017	Methionine biosynthesis, aspartate => homoserine => methionine
K00549	M00017	Methionine biosynthesis, aspartate => homoserine => methionine
K00872	M00018	Threonine biosynthesis, aspartate => homoserine => threonine
K02204	M00018	Threonine biosynthesis, aspartate => homoserine => threonine
K02203	M00018	Threonine biosynthesis, aspartate => homoserine => threonine
K02203	M00020	Serine biosynthesis, glycerate-3P => serine
