PFAM	GO_term	GO	PFAM_description
PF00082	proteolysis	GO:0006508	Peptidase_S8
PF00083	transmembrane transporter activity	GO:0022857	Sugar_tr
PF00083	transmembrane transport	GO:0055085	Sugar_tr
PF00083	membrane	GO:0016020	Sugar_tr
PF00089	serine-type endopeptidase activity	GO:0004252	Trypsin
PF00089	proteolysis	GO:0006508	Trypsin
PF00091	GTP binding	GO:0005525	Tubulin
PF00093	protein binding	GO:0005515	VWC
PF00095	peptidase inhibitor activity	GO:0030414	WAP
PF00095	extracellular region	GO:0005576	WAP
PF00097	metal ion binding	GO:0046872	zf-C3HC4
PF00098	nucleic acid binding	GO:0003676	zf-CCHC
PF00098	zinc ion binding	GO:0008270	zf-CCHC
PF00102	protein tyrosine phosphatase activity	GO:0004725	Y_phosphatase
PF00102	protein dephosphorylation	GO:0006470	Y_phosphatase
PF00103	hormone activity	GO:0005179	Hormone_1
PF00103	extracellular region	GO:0005576	Hormone_1
PF00105	DNA-binding transcription factor activity	GO:0003700	zf-C4
PF00105	zinc ion binding	GO:0008270	zf-C4
PF00105	sequence-specific DNA binding	GO:0043565	zf-C4
PF00105	regulation of DNA-templated transcription	GO:0006355	zf-C4
PF00108	acyltransferase activity, transferring groups other than amino-acyl groups	GO:0016747	Thiolase_N
PF00110	signaling receptor binding	GO:0005102	wnt
PF00110	multicellular organism development	GO:0007275	wnt
PF00110	Wnt signaling pathway	GO:0016055	wnt
PF00110	extracellular region	GO:0005576	wnt
PF00111	iron-sulfur cluster binding	GO:0051536	Fer2
PF00112	cysteine-type peptidase activity	GO:0008234	Peptidase_C1
PF00112	proteolysis	GO:0006508	Peptidase_C1
PF00114	cell adhesion	GO:0007155	Pilin
PF00114	pilus	GO:0009289	Pilin
PF00115	cytochrome-c oxidase activity	GO:0004129	COX1
PF00115	heme binding	GO:0020037	COX1
PF00115	aerobic respiration	GO:0009060	COX1
PF00115	membrane	GO:0016020	COX1
PF00116	cytochrome-c oxidase activity	GO:0004129	COX2
PF00116	copper ion binding	GO:0005507	COX2
PF00116	membrane	GO:0016020	COX2
PF00118	ATP binding	GO:0005524	Cpn60_TCP1
PF00119	proton transmembrane transporter activity	GO:0015078	ATP-synt_A
PF00119	proton motive force-driven ATP synthesis	GO:0015986	ATP-synt_A
PF00119	proton-transporting ATP synthase complex, coupling factor F(o)	GO:0045263	ATP-synt_A
PF00120	glutamine synthetase activity	GO:0004356	Gln-synt_C
PF00120	nitrogen compound metabolic process	GO:0006807	Gln-synt_C
PF00121	triose-phosphate isomerase activity	GO:0004807	TIM
PF00123	hormone activity	GO:0005179	Hormone_2
PF00123	extracellular region	GO:0005576	Hormone_2
PF00124	electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity	GO:0045156	Photo_RC
PF00124	photosynthetic electron transport in photosystem II	GO:0009772	Photo_RC
PF00124	photosynthesis, light reaction	GO:0019684	Photo_RC
PF00125	DNA binding	GO:0003677	Histone
PF00126	DNA-binding transcription factor activity	GO:0003700	HTH_1
PF00126	regulation of DNA-templated transcription	GO:0006355	HTH_1
PF00127	copper ion binding	GO:0005507	Copper-bind
PF00127	electron transfer activity	GO:0009055	Copper-bind
PF00128	carbohydrate metabolic process	GO:0005975	Alpha-amylase
PF00131	metal ion binding	GO:0046872	Metallothio
PF00133	nucleotide binding	GO:0000166	tRNA-synt_1
PF00133	aminoacyl-tRNA ligase activity	GO:0004812	tRNA-synt_1
PF00133	ATP binding	GO:0005524	tRNA-synt_1
PF00133	tRNA aminoacylation for protein translation	GO:0006418	tRNA-synt_1
PF00136	nucleotide binding	GO:0000166	DNA_pol_B
PF00136	DNA binding	GO:0003677	DNA_pol_B
PF00137	proton transmembrane transporter activity	GO:0015078	ATP-synt_C
PF00137	proton transmembrane transport	GO:1902600	ATP-synt_C
PF00137	proton-transporting two-sector ATPase complex, proton-transporting domain	GO:0033177	ATP-synt_C
PF00139	carbohydrate binding	GO:0030246	Lectin_legB
PF00140	DNA binding	GO:0003677	Sigma70_r1_2
PF00140	DNA-binding transcription factor activity	GO:0003700	Sigma70_r1_2
PF00140	sigma factor activity	GO:0016987	Sigma70_r1_2
PF00140	DNA-templated transcription initiation	GO:0006352	Sigma70_r1_2
PF00140	regulation of DNA-templated transcription	GO:0006355	Sigma70_r1_2
PF00141	peroxidase activity	GO:0004601	peroxidase
PF00141	heme binding	GO:0020037	peroxidase
PF00141	response to oxidative stress	GO:0006979	peroxidase
PF00142	ATP binding	GO:0005524	Fer4_NifH
PF00142	oxidoreductase activity	GO:0016491	Fer4_NifH
PF00143	cytokine receptor binding	GO:0005126	Interferon
PF00143	defense response	GO:0006952	Interferon
PF00143	extracellular region	GO:0005576	Interferon
PF00145	methyltransferase activity	GO:0008168	DNA_methylase
PF00146	membrane	GO:0016020	NADHdh
PF00148	oxidoreductase activity	GO:0016491	Oxidored_nitro
PF00149	hydrolase activity	GO:0016787	Metallophos
PF00150	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0004553	Cellulase
PF00150	organic substance metabolic process	GO:0071704	Cellulase
PF00151	lipase activity	GO:0016298	Lipase
PF00152	nucleotide binding	GO:0000166	tRNA-synt_2
PF00152	aminoacyl-tRNA ligase activity	GO:0004812	tRNA-synt_2
PF00152	ATP binding	GO:0005524	tRNA-synt_2
PF00152	tRNA aminoacylation for protein translation	GO:0006418	tRNA-synt_2
PF00155	pyridoxal phosphate binding	GO:0030170	Aminotran_1_2
PF00155	biosynthetic process	GO:0009058	Aminotran_1_2
PF00157	DNA-binding transcription factor activity	GO:0003700	Pou
PF00157	regulation of DNA-templated transcription	GO:0006355	Pou
PF00158	ATP binding	GO:0005524	Sigma54_activat
PF00158	transcription factor binding	GO:0008134	Sigma54_activat
PF00158	regulation of DNA-templated transcription	GO:0006355	Sigma54_activat
PF00159	hormone activity	GO:0005179	Hormone_3
PF00159	extracellular region	GO:0005576	Hormone_3
PF00160	peptidyl-prolyl cis-trans isomerase activity	GO:0003755	Pro_isomerase
PF00160	protein peptidyl-prolyl isomerization	GO:0000413	Pro_isomerase
PF00161	rRNA N-glycosylase activity	GO:0030598	RIP
PF00161	negative regulation of translation	GO:0017148	RIP
PF00162	phosphoglycerate kinase activity	GO:0004618	PGK
PF00162	glycolytic process	GO:0006096	PGK
PF00163	rRNA binding	GO:0019843	Ribosomal_S4
PF00164	structural constituent of ribosome	GO:0003735	Ribosom_S12_S23
PF00164	translation	GO:0006412	Ribosom_S12_S23
PF00164	ribosome	GO:0005840	Ribosom_S12_S23
PF00165	DNA-binding transcription factor activity	GO:0003700	HTH_AraC
PF00165	sequence-specific DNA binding	GO:0043565	HTH_AraC
PF00165	regulation of DNA-templated transcription	GO:0006355	HTH_AraC
PF00166	ATP binding	GO:0005524	Cpn10
PF00166	protein folding chaperone	GO:0044183	Cpn10
PF00166	protein folding	GO:0006457	Cpn10
PF00167	growth factor activity	GO:0008083	FGF
PF00170	DNA-binding transcription factor activity	GO:0003700	bZIP_1
PF00170	regulation of DNA-templated transcription	GO:0006355	bZIP_1
PF00171	oxidoreductase activity	GO:0016491	Aldedh
PF00172	DNA-binding transcription factor activity, RNA polymerase II-specific	GO:0000981	Zn_clus
PF00172	zinc ion binding	GO:0008270	Zn_clus
PF00172	regulation of DNA-templated transcription	GO:0006355	Zn_clus
PF00175	oxidoreductase activity	GO:0016491	NAD_binding_1
PF00176	ATP binding	GO:0005524	SNF2-rel_dom
PF00176	ATP-dependent chromatin remodeler activity	GO:0140658	SNF2-rel_dom
PF00178	DNA-binding transcription factor activity	GO:0003700	Ets
PF00178	sequence-specific DNA binding	GO:0043565	Ets
PF00178	regulation of DNA-templated transcription	GO:0006355	Ets
PF00181	structural constituent of ribosome	GO:0003735	Ribosomal_L2
PF00181	translation	GO:0006412	Ribosomal_L2
PF00181	ribosome	GO:0005840	Ribosomal_L2
PF00182	chitinase activity	GO:0004568	Glyco_hydro_19
PF00182	chitin catabolic process	GO:0006032	Glyco_hydro_19
PF00182	cell wall macromolecule catabolic process	GO:0016998	Glyco_hydro_19
PF00183	ATP binding	GO:0005524	HSP90
PF00183	ATP hydrolysis activity	GO:0016887	HSP90
PF00183	unfolded protein binding	GO:0051082	HSP90
PF00183	ATP-dependent protein folding chaperone	GO:0140662	HSP90
PF00183	protein folding	GO:0006457	HSP90
PF00184	neurohypophyseal hormone activity	GO:0005185	Hormone_5
PF00184	extracellular region	GO:0005576	Hormone_5
PF00185	amino acid binding	GO:0016597	OTCace
PF00185	carboxyl- or carbamoyltransferase activity	GO:0016743	OTCace
PF00185	amino acid metabolic process	GO:0006520	OTCace
PF00186	dihydrofolate reductase activity	GO:0004146	DHFR_1
PF00186	tetrahydrofolate biosynthetic process	GO:0046654	DHFR_1
PF00187	chitin binding	GO:0008061	Chitin_bind_1
PF00189	structural constituent of ribosome	GO:0003735	Ribosomal_S3_C
PF00189	translation	GO:0006412	Ribosomal_S3_C
PF00191	calcium ion binding	GO:0005509	Annexin
PF00191	calcium-dependent phospholipid binding	GO:0005544	Annexin
PF00193	hyaluronic acid binding	GO:0005540	Xlink
PF00193	cell adhesion	GO:0007155	Xlink
PF00196	regulation of DNA-templated transcription	GO:0006355	GerE
PF00197	endopeptidase inhibitor activity	GO:0004866	Kunitz_legume
PF00198	acyltransferase activity	GO:0016746	2-oxoacid_dh
PF00199	catalase activity	GO:0004096	Catalase
PF00199	heme binding	GO:0020037	Catalase
PF00201	UDP-glycosyltransferase activity	GO:0008194	UDPGT
PF00202	transaminase activity	GO:0008483	Aminotran_3
PF00202	pyridoxal phosphate binding	GO:0030170	Aminotran_3
PF00203	structural constituent of ribosome	GO:0003735	Ribosomal_S19
PF00203	translation	GO:0006412	Ribosomal_S19
PF00203	ribosome	GO:0005840	Ribosomal_S19
PF00204	DNA binding	GO:0003677	DNA_gyraseB
PF00204	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity	GO:0003918	DNA_gyraseB
PF00204	ATP binding	GO:0005524	DNA_gyraseB
PF00204	DNA topological change	GO:0006265	DNA_gyraseB
PF00205	magnesium ion binding	GO:0000287	TPP_enzyme_M
PF00205	thiamine pyrophosphate binding	GO:0030976	TPP_enzyme_M
PF00207	endopeptidase inhibitor activity	GO:0004866	A2M
PF00208	oxidoreductase activity	GO:0016491	ELFV_dehydrog
PF00208	amino acid metabolic process	GO:0006520	ELFV_dehydrog
PF00209	membrane	GO:0016020	SNF
PF00210	ferric iron binding	GO:0008199	Ferritin
PF00211	cyclic nucleotide biosynthetic process	GO:0009190	Guanylate_cyc
PF00211	intracellular signal transduction	GO:0035556	Guanylate_cyc
PF00212	hormone activity	GO:0005179	ANP
PF00212	extracellular region	GO:0005576	ANP
PF00213	proton-transporting ATP synthase activity, rotational mechanism	GO:0046933	OSCP
PF00213	proton motive force-driven ATP synthesis	GO:0015986	OSCP
PF00214	hormone activity	GO:0005179	Calc_CGRP_IAPP
PF00214	extracellular region	GO:0005576	Calc_CGRP_IAPP
PF00215	orotidine-5'-phosphate decarboxylase activity	GO:0004590	OMPdecase
PF00215	'de novo' pyrimidine nucleobase biosynthetic process	GO:0006207	OMPdecase
PF00216	DNA binding	GO:0003677	Bac_DNA_binding
PF00216	structural constituent of chromatin	GO:0030527	Bac_DNA_binding
PF00217	kinase activity	GO:0016301	ATP-gua_Ptrans
PF00217	transferase activity, transferring phosphorus-containing groups	GO:0016772	ATP-gua_Ptrans
PF00218	indole-3-glycerol-phosphate synthase activity	GO:0004425	IGPS
PF00219	extracellular region	GO:0005576	IGFBP
PF00220	neurohypophyseal hormone activity	GO:0005185	Hormone_4
PF00220	extracellular region	GO:0005576	Hormone_4
PF00223	photosynthesis	GO:0015979	PsaA_PsaB
PF00223	thylakoid	GO:0009579	PsaA_PsaB
PF00223	membrane	GO:0016020	PsaA_PsaB
PF00224	magnesium ion binding	GO:0000287	PK
PF00224	pyruvate kinase activity	GO:0004743	PK
PF00224	potassium ion binding	GO:0030955	PK
PF00224	glycolytic process	GO:0006096	PK
PF00225	microtubule motor activity	GO:0003777	Kinesin
PF00225	ATP binding	GO:0005524	Kinesin
PF00225	microtubule binding	GO:0008017	Kinesin
PF00225	microtubule-based movement	GO:0007018	Kinesin
PF00227	proteolysis involved in protein catabolic process	GO:0051603	Proteasome
PF00227	proteasome core complex	GO:0005839	Proteasome
PF00228	serine-type endopeptidase inhibitor activity	GO:0004867	Bowman-Birk_leg
PF00228	extracellular region	GO:0005576	Bowman-Birk_leg
PF00229	tumor necrosis factor receptor binding	GO:0005164	TNF
PF00229	immune response	GO:0006955	TNF
PF00229	membrane	GO:0016020	TNF
PF00230	channel activity	GO:0015267	MIP
PF00230	transmembrane transport	GO:0055085	MIP
PF00230	membrane	GO:0016020	MIP
PF00231	proton-transporting ATP synthase activity, rotational mechanism	GO:0046933	ATP-synt
PF00231	proton motive force-driven ATP synthesis	GO:0015986	ATP-synt
PF00231	proton-transporting ATP synthase complex, catalytic core F(1)	GO:0045261	ATP-synt
PF00232	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0004553	Glyco_hydro_1
PF00232	carbohydrate metabolic process	GO:0005975	Glyco_hydro_1
PF00233	3',5'-cyclic-nucleotide phosphodiesterase activity	GO:0004114	PDEase_I
PF00233	signal transduction	GO:0007165	PDEase_I
PF00235	actin binding	GO:0003779	Profilin
PF00236	hormone activity	GO:0005179	Hormone_6
PF00236	extracellular region	GO:0005576	Hormone_6
PF00237	structural constituent of ribosome	GO:0003735	Ribosomal_L22
PF00237	translation	GO:0006412	Ribosomal_L22
PF00237	ribosome	GO:0005840	Ribosomal_L22
PF00238	structural constituent of ribosome	GO:0003735	Ribosomal_L14
PF00238	translation	GO:0006412	Ribosomal_L14
PF00238	ribosome	GO:0005840	Ribosomal_L14
PF00239	DNA strand exchange activity	GO:0000150	Resolvase
PF00239	DNA binding	GO:0003677	Resolvase
PF00239	DNA recombination	GO:0006310	Resolvase
PF00240	protein binding	GO:0005515	ubiquitin
PF00241	actin binding	GO:0003779	Cofilin_ADF
PF00242	DNA binding	GO:0003677	DNA_pol_viral_N
PF00242	DNA-directed DNA polymerase activity	GO:0003887	DNA_pol_viral_N
PF00242	DNA replication	GO:0006260	DNA_pol_viral_N
PF00243	signaling receptor binding	GO:0005102	NGF
PF00245	phosphatase activity	GO:0016791	Alk_phosphatase
PF00246	metallocarboxypeptidase activity	GO:0004181	Peptidase_M14
PF00246	zinc ion binding	GO:0008270	Peptidase_M14
PF00246	proteolysis	GO:0006508	Peptidase_M14
PF00250	DNA-binding transcription factor activity	GO:0003700	Forkhead
PF00250	sequence-specific DNA binding	GO:0043565	Forkhead
PF00250	regulation of DNA-templated transcription	GO:0006355	Forkhead
PF00253	structural constituent of ribosome	GO:0003735	Ribosomal_S14
PF00253	translation	GO:0006412	Ribosomal_S14
PF00253	ribosome	GO:0005840	Ribosomal_S14
PF00254	peptidyl-prolyl cis-trans isomerase activity	GO:0003755	FKBP_C
PF00255	peroxidase activity	GO:0004601	GSHPx
PF00255	response to oxidative stress	GO:0006979	GSHPx
PF00257	response to water	GO:0009415	Dehydrin
PF00258	FMN binding	GO:0010181	Flavodoxin_1
PF00260	DNA binding	GO:0003677	Protamine_P1
PF00260	spermatogenesis	GO:0007283	Protamine_P1
PF00260	sperm DNA condensation	GO:0035092	Protamine_P1
PF00260	nucleosome	GO:0000786	Protamine_P1
PF00260	nucleus	GO:0005634	Protamine_P1
PF00262	calcium ion binding	GO:0005509	Calreticulin
PF00262	unfolded protein binding	GO:0051082	Calreticulin
PF00262	protein folding	GO:0006457	Calreticulin
PF00262	endoplasmic reticulum	GO:0005783	Calreticulin
PF00263	protein secretion	GO:0009306	Secretin
PF00264	oxidoreductase activity	GO:0016491	Tyrosinase
PF00265	thymidine kinase activity	GO:0004797	TK
PF00265	ATP binding	GO:0005524	TK
PF00267	porin activity	GO:0015288	Porin_1
PF00267	monoatomic ion transmembrane transport	GO:0034220	Porin_1
PF00267	cell outer membrane	GO:0009279	Porin_1
PF00267	membrane	GO:0016020	Porin_1
PF00268	deoxyribonucleotide biosynthetic process	GO:0009263	Ribonuc_red_sm
PF00269	double-stranded DNA binding	GO:0003690	SASP
PF00269	DNA topological change	GO:0006265	SASP
PF00270	nucleic acid binding	GO:0003676	DEAD
PF00270	ATP binding	GO:0005524	DEAD
PF00272	antibacterial humoral response	GO:0019731	Cecropin
PF00272	extracellular region	GO:0005576	Cecropin
PF00273	extracellular space	GO:0005615	Serum_albumin
PF00274	fructose-bisphosphate aldolase activity	GO:0004332	Glycolytic
PF00274	glycolytic process	GO:0006096	Glycolytic
PF00275	transferase activity, transferring alkyl or aryl (other than methyl) groups	GO:0016765	EPSP_synthase
PF00276	structural constituent of ribosome	GO:0003735	Ribosomal_L23
PF00276	translation	GO:0006412	Ribosomal_L23
PF00276	ribosome	GO:0005840	Ribosomal_L23
PF00277	extracellular region	GO:0005576	SAA
PF00278	catalytic activity	GO:0003824	Orn_DAP_Arg_deC
PF00280	serine-type endopeptidase inhibitor activity	GO:0004867	potato_inhibit
PF00280	response to wounding	GO:0009611	potato_inhibit
PF00282	carbon-carbon lyase activity	GO:0016830	Pyridoxal_deC
PF00282	pyridoxal phosphate binding	GO:0030170	Pyridoxal_deC
PF00282	carboxylic acid metabolic process	GO:0019752	Pyridoxal_deC
PF00283	photosynthesis	GO:0015979	Cytochrom_B559
PF00284	metal ion binding	GO:0046872	Cytochrom_B559a
PF00284	photosynthesis	GO:0015979	Cytochrom_B559a
PF00284	photosystem II	GO:0009523	Cytochrom_B559a
PF00284	membrane	GO:0016020	Cytochrom_B559a
PF00285	acyltransferase activity, acyl groups converted into alkyl on transfer	GO:0046912	Citrate_synt
PF00286	structural molecule activity	GO:0005198	Flexi_CP
PF00286	viral capsid	GO:0019028	Flexi_CP
PF00287	potassium ion transport	GO:0006813	Na_K-ATPase
PF00287	sodium ion transport	GO:0006814	Na_K-ATPase
PF00287	sodium:potassium-exchanging ATPase complex	GO:0005890	Na_K-ATPase
PF00288	ATP binding	GO:0005524	GHMP_kinases_N
PF00290	tryptophan synthase activity	GO:0004834	Trp_syntA
PF00290	tryptophan metabolic process	GO:0006568	Trp_syntA
PF00292	DNA binding	GO:0003677	PAX
PF00292	regulation of DNA-templated transcription	GO:0006355	PAX
PF00295	polygalacturonase activity	GO:0004650	Glyco_hydro_28
PF00295	carbohydrate metabolic process	GO:0005975	Glyco_hydro_28
PF00296	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	GO:0016705	Bac_luciferase
PF00297	structural constituent of ribosome	GO:0003735	Ribosomal_L3
PF00297	translation	GO:0006412	Ribosomal_L3
PF00297	ribosome	GO:0005840	Ribosomal_L3
PF00298	structural constituent of ribosome	GO:0003735	Ribosomal_L11
PF00298	translation	GO:0006412	Ribosomal_L11
PF00298	ribosome	GO:0005840	Ribosomal_L11
PF00299	serine-type endopeptidase inhibitor activity	GO:0004867	Squash
PF00301	iron ion binding	GO:0005506	Rubredoxin
PF00302	chloramphenicol O-acetyltransferase activity	GO:0008811	CAT
PF00305	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	GO:0016702	Lipoxygenase
PF00305	metal ion binding	GO:0046872	Lipoxygenase
PF00306	proton motive force-driven ATP synthesis	GO:0015986	ATP-synt_ab_C
PF00307	protein binding	GO:0005515	CH
PF00309	DNA-binding transcription activator activity	GO:0001216	Sigma54_AID
PF00309	sigma factor activity	GO:0016987	Sigma54_AID
PF00311	phosphoenolpyruvate carboxylase activity	GO:0008964	PEPcase
PF00311	tricarboxylic acid cycle	GO:0006099	PEPcase
PF00311	carbon fixation	GO:0015977	PEPcase
PF00312	structural constituent of ribosome	GO:0003735	Ribosomal_S15
PF00312	translation	GO:0006412	Ribosomal_S15
PF00312	ribosome	GO:0005840	Ribosomal_S15
PF00313	nucleic acid binding	GO:0003676	CSD
PF00317	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor	GO:0004748	Ribonuc_red_lgN
PF00317	ATP binding	GO:0005524	Ribonuc_red_lgN
PF00317	deoxyribonucleotide biosynthetic process	GO:0009263	Ribonuc_red_lgN
PF00318	structural constituent of ribosome	GO:0003735	Ribosomal_S2
PF00318	translation	GO:0006412	Ribosomal_S2
PF00318	ribosome	GO:0005840	Ribosomal_S2
PF00319	DNA binding	GO:0003677	SRF-TF
PF00319	protein dimerization activity	GO:0046983	SRF-TF
PF00320	sequence-specific DNA binding	GO:0043565	GATA
PF00320	regulation of DNA-templated transcription	GO:0006355	GATA
PF00321	defense response	GO:0006952	Thionin
PF00322	regulation of vasoconstriction	GO:0019229	Endothelin
PF00322	extracellular region	GO:0005576	Endothelin
PF00323	defense response	GO:0006952	Defensin_1
PF00323	extracellular region	GO:0005576	Defensin_1
PF00324	transmembrane transport	GO:0055085	AA_permease
PF00324	membrane	GO:0016020	AA_permease
PF00325	DNA binding	GO:0003677	Crp
PF00325	regulation of DNA-templated transcription	GO:0006355	Crp
PF00326	serine-type peptidase activity	GO:0008236	Peptidase_S9
PF00326	proteolysis	GO:0006508	Peptidase_S9
PF00329	NADH dehydrogenase (ubiquinone) activity	GO:0008137	Complex1_30kDa
PF00331	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0004553	Glyco_hydro_10
PF00331	carbohydrate metabolic process	GO:0005975	Glyco_hydro_10
PF00332	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0004553	Glyco_hydro_17
PF00332	carbohydrate metabolic process	GO:0005975	Glyco_hydro_17
PF00333	RNA binding	GO:0003723	Ribosomal_S5
PF00333	structural constituent of ribosome	GO:0003735	Ribosomal_S5
PF00333	translation	GO:0006412	Ribosomal_S5
PF00333	ribosome	GO:0005840	Ribosomal_S5
PF00335	membrane	GO:0016020	Tetraspanin
PF00336	RNA-DNA hybrid ribonuclease activity	GO:0004523	DNA_pol_viral_C
PF00337	carbohydrate binding	GO:0030246	Gal-bind_lectin
PF00340	cytokine activity	GO:0005125	IL1
PF00340	inflammatory response	GO:0006954	IL1
PF00340	immune response	GO:0006955	IL1
PF00340	extracellular space	GO:0005615	IL1
PF00341	growth factor activity	GO:0008083	PDGF
PF00341	membrane	GO:0016020	PDGF
PF00342	glucose-6-phosphate isomerase activity	GO:0004347	PGI
PF00342	gluconeogenesis	GO:0006094	PGI
PF00342	glycolytic process	GO:0006096	PGI
PF00343	glycogen phosphorylase activity	GO:0008184	Phosphorylase
PF00343	carbohydrate metabolic process	GO:0005975	Phosphorylase
PF00344	protein transport	GO:0015031	SecY
PF00344	membrane	GO:0016020	SecY
PF00345	cell wall organization	GO:0071555	PapD_N
PF00345	outer membrane-bounded periplasmic space	GO:0030288	PapD_N
PF00346	oxidoreductase activity, acting on NAD(P)H	GO:0016651	Complex1_49kDa
